character_name,gender,banner_revenue,story_impact,design_complexity,rarity,meta_tier,body_type,release_date,new_outfit,popularity_scale
Faruzan,Female,N/A,2,3,4 Stars,A,Medium Female,07-Dec-22,N/A,4
Fischl,Female,N/A,3,3,4 Stars,SS,Medium Female,28-Sep-20,EVENT/PAID,5
Flins,Male,"$27,000,000",5,5,5 Stars,SS,Tall Male,30-Sep-25,N/A,5
Freminet,Male,N/A,2,3,4 Stars,D,Medium Male,05-Sep-23,N/A,2
Furina,Female,"$14,617,063",5,4,5 Stars,SS,Medium Female,08-Nov-23,N/A,5
Gaming,Male,N/A,5,4,4 Stars,A,Medium Male,31-Jan-24,N/A,4
Ganyu,Female,"$15,669,918",4,3,5 Stars,B,Medium Female,12-Jan-21,PAID OUTFIT,5
Gorou,Male,N/A,3,3,4 Stars,B,Medium Male,14-Dec-21,N/A,2
Hu Tao,Female,"$12,481,634",5,3,5 Stars,A,Medium Female,02-Mar-21,PAID OUTFIT,5
Iansan,Female,N/A,2,2,4 Stars,SS,Short Female,26-Mar-25,N/A,2
Ifa,Male,N/A,1,3,4 Stars,B,Tall Male,07-May-25,N/A,2
Illuga,Male,N/A,3,3,4 Stars,A,Medium Male,03-Feb-26,N/A,3
Ineffa,Female,"$33,000,000",4,4,5 Stars,SS,Medium Female,30-Jul-25,N/A,3
Jahoda,Female,N/A,5,4,4 Stars,B,Medium Female,03-Dec-25,N/A,4
Jean,Female,STANDARD,3,3,5 Stars,A,Tall Female,28-Sep-20,PAID OUTFIT,3
Kachina,Female,N/A,3,3,4 Stars,C,Short Female,28-Aug-24,N/A,2
Kaedehara Kazuha,Male,"$9,807,112",5,4,5 Stars,S,Medium Male,29-Jun-21,N/A,5
Kaeya,Male,N/A,5,4,4 Stars,B,Tall Male,28-Sep-20,EVENT/PAID,5
Kamisato Ayaka,Female,"$16,451,006",4,4,5 Stars,A,Medium Female,21-Jul-21,PAID OUTFIT,5
Kamisato Ayato,Male,"$11,383,727",5,2,5 Stars,B,Tall Male,30-Mar-22,N/A,5
Kaveh,Male,N/A,5,4,4 Stars,C,Tall Male,02-May-23,N/A,5
Keqing,Female,"$9,505,798",3,3,5 Stars,C,Medium Female,28-Sep-20,PAID OUTFIT,4
Kinich,Male,"$19,200,000 ",4,3,5 Stars,S,Medium Male,17-Sep-24,N/A,4
Kirara,Female,N/A,1,3,4 Stars,A,Medium Female,24-May-23,EVENT/PAID,3
Klee,Female,"$22,750,080",3,3,5 Stars,A,Short Female,20-Oct-20,PAID OUTFIT,4
Kujou Sara,Female,N/A,3,3,4 Stars,B,Tall Female,01-Sep-21,N/A,3
Kuki Shinobu,Female,N/A,3,2,4 Stars,A,Medium Female,21-Jun-22,N/A,2
Lan Yan,Female,N/A,1,2,4 Stars,A,Medium Female,21-Jan-25,N/A,2
Lauma,Female,"$24,500,000",4,4,5 Stars,SS,Tall Female,10-Sep-25,N/A,5
Layla,Female,N/A,2,4,4 Stars,A,Medium Female,18-Nov-22,N/A,3
Lisa,Female,N/A,3,3,4 Stars,D,Tall Female,28-Sep-20,EVENT/PAID,5
Lynette,Female,N/A,2,2,4 Stars,B,Medium Female,16-Aug-23,N/A,3
Lyney,Male,"$5,736,769",4,3,5 Stars,A,Medium Male,16-Aug-23,N/A,2
Mavuika,Female,"$63,400,000",5,4,5 Stars,SS,Tall Female,01-Jan-25,N/A,5
Mika,Male,N/A,1,1,4 Stars,C,Medium Male,21-Mar-23,N/A,1
Mona,Female,STANDARD,3,3,5 Stars,A,Medium Female,28-Sep-20,N/A,5
Mualani,Female,"$14,730,000",3,3,5 Stars,S,Medium Female,28-Aug-24,N/A,5
Nahida,Female,"$14,009,617",5,3,5 Stars,S,Short Female,02-Nov-22,N/A,5
Navia,Female,"$9,134,898",5,5,5 Stars,A,Tall Female,20-Dec-23,N/A,5
Nefer,Female,"$22,280,076",4,5,5 Stars,SS,Tall Female,22-Oct-25,N/A,5
Neuvillette,Male,"$6,916,236",5,5,5 Stars,S,Tall Male,27-Sep-23,PAID OUTFIT,5
Nilou,Female,"$7,865,840",4,4,5 Stars,S,Medium Female,14-Oct-22,PAID OUTFIT,4
Ningguang,Female,N/A,5,4,4 Stars,D,Medium Female,28-Sep-20,EVENT/PAID,5
Noelle,Female,N/A,3,2,4 Stars,C,Medium Female,28-Sep-20,N/A,4
Ororon,Male,N/A,4,3,4 Stars,A,Tall Male,20-Nov-24,N/A,4
Qiqi,Female,STANDARD,3,2,5 Stars,C,Short Female,28-Sep-20,N/A,2
Raiden Shogun,Female,"$33,020,905",4,3,5 Stars,A,Tall Female,01-Sep-21,N/A,5
Razor,Male,N/A,3,2,4 Stars,A,Medium Male,28-Sep-20,N/A,4
Rosaria,Female,N/A,3,2,4 Stars,A,Tall Female,06-Apr-21,FREE OUTFIT,4
Sangonomiya Kokomi,Female,"$7,020,975",3,4,5 Stars,B,Medium Female,21-Sep-21,N/A,4
Sayu,Female,N/A,2,2,4 Stars,C,Short Female,10-Aug-21,N/A,2
Sethos,Male,N/A,1,1,4 Stars,B,Medium Male,05-Jun-24,N/A,2
Shenhe,Female,"$8,497,203",3,4,5 Stars,S,Tall Female,05-Jan-22,PAID OUTFIT,4
Shikanoin Heizou,Male,N/A,3,3,4 Stars,C,Medium Male,13-Jul-22,N/A,3
Sigewinne,Female,,2,3,5 Stars,B,Short Female,25-Jun-24,N/A,2
Skirk,Female,"$65,505,000",4,5,5 Stars,SS,Medium Female,18-Jun-25,N/A,5
Sucrose,Female,N/A,2,3,4 Stars,SS,Medium Female,28-Sep-20,N/A,3
Tartaglia,Male," $13,443,619",5,4,5 Stars,B,Tall Male,11-Nov-20,N/A,5
Thoma,Male,N/A,5,3,4 Stars,B,Tall Male,02-Nov-21,N/A,5
Tighnari,Male,"$9,534,186",3,4,5 Stars,B,Medium Male,24-Aug-22,N/A,3
Aether (Traveller),Male,N/A,N/A,4,5 Stars,B,Medium Male,N/A,FREE OUTFIT,3
Lumine (Traveller),Female,N/A,N/A,4,5 Stars,B,Medium Female ,N/A,FREE OUTFIT,4
Aether (Abyss Twin),Male,N/A,N/A,4,5 Stars,N/A,Medium Male,N/A,N/A,2
Lumine (Abyss Twin),Female,N/A,N/A,4,5 Stars,N/A,Medium Female,N/A,N/A,5
Varesa,Female,"$36,500,000",3,4,5 Stars,SS,Medium Female,26-Mar-25,N/A,4
Venti,Male,"$30,632,752",5,4,5 Stars,A,Medium Male,28-Sep-20,N/A,5
Wanderer,Male,"$13,563,252",5,5,5 Stars,B,Medium Male,07-Dec-22,N/A,5
Wriothesley,Male,"$5,865,022",4,5,5 Stars,A,Tall Male,17-Oct-23,N/A,5
Xiangling,Female,N/A,4,3,4 Stars,S,Medium Female,28-Sep-20,EVENT/PAID,3
Xianyun,Female,"$12,835,054",4,4,5 Stars,S,Tall Female,31-Jan-24,N/A,5
Xiao,Male,"$13,145,115",5,4,5 Stars,A,Medium Male,03-Feb-21,N/A,5
Xilonen,Female,"$28,800,000",5,5,5 Stars,SS,Medium Female,09-Oct-24,N/A,5
Xingqiu,Male,N/A,5,4,4 Stars,S,Medium Male,28-Sep-20,EVENT/PAID,4
Xinyan,Female,N/A,2,1,4 Stars,D,Medium Female,01-Dec-20,N/A,2
Yae Miko,Female,"$15,110,264",5,3,5 Stars,A,Tall Female,16-Feb-22,N/A,4
Yanfei,Female,N/A,2,2,4 Stars,C,Medium Female,28-Apr-21,N/A,2
Yaoyao,Female,N/A,2,2,4 Stars,A,Short Female,18-Jan-23,EVENT/PAID,2
Yelan,Female,"$16,088,572",5,5,5 Stars,S,Tall Female,31-May-22,PAID OUTFIT,5
Yoimiya,Female,"$8,615,144",4,3,5 Stars,B,Medium Female,10-Aug-21,N/A,3
Yumemizuki Mizuki,Female,"$4,015,144",2,3,5 Stars,C,Medium Female,12-Feb-25,N/A,3
Yun Jin,Female,N/A,3,5,4 Stars,B,Medium Female,05-Jan-22,N/A,3
Zhongli,Male,"$16,264,892",5,5,5 Stars,S,Tall Male,01-Dec-20,N/A,5
Zibai,Female,"$19,200,000",5,5,5 Stars,SS,Tall Female,03-Feb-26,N/A,5
